,Name,Position,Shoots,Date Born,College,NBA Debut,Experience,Player Image,Height,Weight,Draft Team,Draft Year,Draft Round
152,Alec Burks, Shooting Guard and Small Forward, Right,1991-07-20,Colorado,2011-12-27,12.0,https://www.basketball-reference.com/req/202106291/images/headshots/burksal01.jpg,198.0,97.0,Utah Jazz,2011,1st round
153,Chet Holmgren, Power Forward, Right,2002-05-01,Gonzaga,2023-10-25,0.0,https://www.basketball-reference.com/req/202106291/images/headshots/holmgch01.jpg,213.0,88.0,Oklahoma City Thunder,2022,1st round
154,Larry Nance Jr., Center and Power Forward, Right,1993-01-01,Wyoming,2015-11-06,8.0,https://www.basketball-reference.com/req/202106291/images/headshots/nancela02.jpg,201.0,111.0,Los Angeles Lakers,2015,1st round
155,Landry Shamet, Shooting Guard, Right,1997-03-13,Wichita State,2018-10-16,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/shamela01.jpg,193.0,86.0,Philadelphia 76ers,2018,1st round
156,Al Horford, Center, Right,1986-06-03,Florida,2007-11-02,16.0,https://www.basketball-reference.com/req/202106291/images/headshots/horfoal01.jpg,206.0,108.0,Atlanta Hawks,2007,1st round
157,Malik Monk, Shooting Guard, Right,1998-02-04,Kentucky,2017-10-18,6.0,https://www.basketball-reference.com/req/202106291/images/headshots/monkma01.jpg,190.0,90.0,Charlotte Hornets,2017,1st round
158,Tre Jones, Point Guard, Right,2000-01-08,Duke,2020-12-30,3.0,https://www.basketball-reference.com/req/202106291/images/headshots/jonestr01.jpg,185.0,83.0,San Antonio Spurs,2020,2nd round
159,Jalen Green, Shooting Guard, Right,2002-02-09,No College,2021-10-20,2.0,https://www.basketball-reference.com/req/202106291/images/headshots/greenja05.jpg,193.0,80.0,Houston Rockets,2021,1st round
160,Patrick Williams, Power Forward, Right,2001-08-26,Florida State,2020-12-23,3.0,https://www.basketball-reference.com/req/202106291/images/headshots/willipa01.jpg,201.0,97.0,Chicago Bulls,2020,1st round
161,Monte Morris, Point Guard, Right,1995-06-27,Iowa State,2017-12-12,6.0,https://www.basketball-reference.com/req/202106291/images/headshots/morrimo01.jpg,188.0,83.0,Denver Nuggets,2017,2nd round
162,Scoot Henderson, Point Guard, Right,2004-02-03,No College,2023-10-25,0.0,https://www.basketball-reference.com/req/202106291/images/headshots/hendesc01.jpg,190.0,91.0,Portland Trail Blazers,2023,1st round
163,Nic Claxton, Center, Left,1999-04-17,Georgia,2019-11-08,4.0,https://www.basketball-reference.com/req/202106291/images/headshots/claxtni01.jpg,211.0,97.0,Brooklyn Nets,2019,2nd round
164,Jeff Green," Power Forward, Small Forward, and Center", Right,1986-08-28,Georgetown,2007-10-31,15.0,https://www.basketball-reference.com/req/202106291/images/headshots/greenje02.jpg,203.0,106.0,Boston Celtics,2007,1st round
165,Royce O'Neale, Small Forward, Right,1993-06-05,No College,2017-10-21,6.0,https://www.basketball-reference.com/req/202106291/images/headshots/onealro01.jpg,193.0,102.0,Not Drafted,Not Drafted,Not Drafted
166,Alex Caruso, Point Guard and Shooting Guard, Right,1994-02-28,Texas A&amp,,,,,,,Not Drafted,Not Drafted
167,Victor Oladipo, Shooting Guard and Point Guard, Right,1992-05-04,Indiana,2013-10-29,10.0,https://www.basketball-reference.com/req/202106291/images/headshots/oladivi01.jpg,193.0,96.0,Orlando Magic,2013,1st round
168,Pat Connaughton, Shooting Guard and Small Forward, Right,1993-01-06,Notre Dame,2015-10-30,8.0,https://www.basketball-reference.com/req/202106291/images/headshots/connapa01.jpg,196.0,94.0,Brooklyn Nets,2015,2nd round
169,Jabari Smith Jr., Power Forward, Right,2003-05-13,Auburn,2022-10-19,1.0,https://www.basketball-reference.com/req/202106291/images/headshots/smithja05.jpg,208.0,99.0,Houston Rockets,2022,1st round
170,Isaiah Hartenstein, Center and Power Forward, Left,1998-05-05,No College,2018-10-17,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/harteis01.jpg,213.0,113.0,Houston Rockets,2017,2nd round
171,Kyle Anderson, Small Forward and Power Forward, Right,1993-09-20,UCLA,2014-11-06,9.0,https://www.basketball-reference.com/req/202106291/images/headshots/anderky01.jpg,206.0,104.0,San Antonio Spurs,2014,1st round
172,Daniel Theis, Center, Right,1992-04-04,No College,2017-10-18,6.0,https://www.basketball-reference.com/req/202106291/images/headshots/theisda01.jpg,203.0,111.0,Not Drafted,Not Drafted,Not Drafted
173,Grayson Allen, Shooting Guard, Right,1995-10-08,Duke,2018-10-22,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/allengr01.jpg,193.0,89.0,Utah Jazz,2018,1st round
174,Isaac Okoro, Small Forward and Shooting Guard, Right,2001-01-26,Auburn,2020-12-23,3.0,https://www.basketball-reference.com/req/202106291/images/headshots/okorois01.jpg,196.0,102.0,Cleveland Cavaliers,2020,1st round
175,Evan Mobley, Power Forward, Right,2001-06-18,USC,2021-10-20,2.0,https://www.basketball-reference.com/req/202106291/images/headshots/mobleev01.jpg,213.0,97.0,Cleveland Cavaliers,2021,1st round
176,Amen Thompson, Small Forward, Right,2003-01-30,No College,2023-10-25,0.0,https://www.basketball-reference.com/req/202106291/images/headshots/thompam01.jpg,201.0,94.0,Houston Rockets,2023,1st round
177,Georges Niang, Power Forward, Right,1993-06-17,Iowa State,2016-10-28,7.0,https://www.basketball-reference.com/req/202106291/images/headshots/niangge01.jpg,201.0,104.0,Indiana Pacers,2016,2nd round
178,Gary Payton II," Point Guard, Shooting Guard, and Small Forward", Left,1992-12-01,Oregon State,2017-04-02,7.0,https://www.basketball-reference.com/req/202106291/images/headshots/paytoga02.jpg,190.0,86.0,Not Drafted,Not Drafted,Not Drafted
179,T.J. McConnell, Point Guard, Right,1992-03-25,No College,2015-10-28,8.0,https://www.basketball-reference.com/req/202106291/images/headshots/mccontj01.jpg,185.0,86.0,Not Drafted,Not Drafted,Not Drafted
180,Keegan Murray, Small Forward, Right,2000-08-19,Iowa,2022-10-22,1.0,https://www.basketball-reference.com/req/202106291/images/headshots/murrake02.jpg,203.0,97.0,Sacramento Kings,2022,1st round
181,Delon Wright, Point Guard and Shooting Guard, Right,1992-04-26,Utah,2015-11-01,8.0,https://www.basketball-reference.com/req/202106291/images/headshots/wrighde01.jpg,196.0,83.0,Toronto Raptors,2015,1st round
182,Onyeka Okongwu, Center, Right,2000-12-11,USC,2021-01-15,3.0,https://www.basketball-reference.com/req/202106291/images/headshots/okongon01.jpg,203.0,106.0,Atlanta Hawks,2020,1st round
183,Scottie Barnes, Small Forward and Power Forward, Right,2001-08-01,Florida State,2021-10-20,2.0,https://www.basketball-reference.com/req/202106291/images/headshots/barnesc01.jpg,206.0,102.0,Toronto Raptors,2021,1st round
184,Jock Landale, Center, Right,1995-10-25,Saint Mary\'s,2021-10-20,2.0,https://www.basketball-reference.com/req/202106291/images/headshots/landajo01.jpg,211.0,116.0,Not Drafted,Not Drafted,Not Drafted
185,Trey Lyles, Power Forward, Right,1995-11-05,Kentucky,2015-10-28,8.0,https://www.basketball-reference.com/req/202106291/images/headshots/lylestr01.jpg,206.0,106.0,Utah Jazz,2015,1st round
186,De'Anthony Melton, Point Guard and Shooting Guard, Right,1998-05-28,USC,2018-10-22,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/meltode01.jpg,188.0,90.0,Houston Rockets,2018,2nd round
187,Moritz Wagner, Center, Right,1997-04-26,Michigan,2018-11-17,5.0,https://www.basketball-reference.com/req/202106291/images/headshots/wagnemo01.jpg,211.0,111.0,Los Angeles Lakers,2018,1st round
