Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season
Damian Lillard,PG,32,POR,58,2107,26.7,0.645,0.547,0.464,2.4,12.8,7.6,35.0,1.2,0.8,11.7,33.8,8.2,0.8,9.0,0.205,8.3,-1.2,7.1,4.9,2023
Kira Lewis Jr.,PG,21,NOP,25,235,14.5,0.584,0.386,0.250,2.4,13.5,8.0,14.0,2.1,0.8,9.3,19.7,0.3,0.3,0.6,0.122,-0.8,0.5,-0.3,0.1,2023
Caris LeVert,SG,28,CLE,74,2237,12.4,0.546,0.437,0.243,2.8,12.1,7.4,18.0,1.6,1.0,12.4,18.7,1.4,3.1,4.4,0.095,-1.0,0.8,-0.2,1.0,2023
Meyers Leonard,C,30,MIL,9,114,12.0,0.652,0.621,0.310,11.4,19.4,15.5,1.2,0.8,0.0,15.4,14.4,0.2,0.1,0.3,0.126,-2.8,-2.2,-5.0,-0.1,2023
Alex Len,C,29,SAC,26,161,12.8,0.580,0.067,0.533,17.2,25.4,21.3,9.3,1.2,6.0,30.2,14.1,0.1,0.2,0.3,0.085,-4.9,0.9,-4.0,-0.1,2023
Terance Mann,SG,26,LAC,81,1872,13.4,0.619,0.378,0.225,4.7,11.8,8.3,14.0,1.1,1.0,12.2,15.3,2.8,1.5,4.3,0.111,-0.3,0.1,-0.2,0.8,2023
Saben Lee,PG,23,TOT,25,373,13.1,0.517,0.248,0.471,3.8,9.7,6.7,24.3,2.5,0.2,14.1,19.5,0.2,0.4,0.7,0.088,-2.7,0.9,-1.8,0.0,2023
Damion Lee,SG,30,PHO,74,1506,10.7,0.607,0.546,0.230,2.8,14.0,8.3,8.9,1.0,0.4,13.5,16.3,1.1,1.4,2.6,0.081,-1.3,-0.4,-1.7,0.1,2023
A.J. Lawson,SG,22,TOT,15,108,13.9,0.589,0.568,0.182,6.4,16.3,11.3,3.0,0.9,0.0,5.9,21.1,0.1,0.1,0.1,0.063,-1.5,-2.9,-4.4,-0.1,2023
Zach LaVine,SG,27,CHI,77,2768,19.0,0.607,0.392,0.308,1.7,12.2,7.1,18.7,1.2,0.6,11.0,28.3,4.2,2.9,7.1,0.123,2.7,-0.7,1.9,2.7,2023
Jake LaRavia,PF,21,MEM,35,414,6.7,0.531,0.747,0.095,4.9,11.3,8.1,6.2,1.4,0.9,15.4,11.7,0.0,0.5,0.5,0.054,-3.9,0.4,-3.5,-0.2,2023
Romeo Langford,SG,23,SAS,43,844,10.4,0.524,0.236,0.216,7.1,7.7,7.4,7.9,1.3,1.3,9.6,15.4,0.3,0.2,0.5,0.029,-2.6,-1.5,-4.2,-0.5,2023
Jock Landale,C,27,PHO,69,979,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.7,-0.4,-1.1,0.2,2023
Anthony Lamb,SF,25,GSW,62,1195,10.9,0.610,0.634,0.191,5.3,14.4,9.9,10.5,1.1,1.5,13.7,13.8,1.2,1.2,2.4,0.096,-1.6,0.4,-1.1,0.3,2023
Kyle Kuzma,PF,27,WAS,64,2239,14.3,0.544,0.421,0.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1.0,1.9,0.9,0.019,-0.2,-1.5,-1.7,0.2,2023
Jonathan Kuminga,PF,20,GSW,67,1394,13.3,0.597,0.294,0.278,5.6,12.5,9.1,12.7,1.4,2.0,14.6,19.6,1.0,1.4,2.4,0.084,-1.7,-0.1,-1.7,0.1,2023
Vit Krejci,PG,22,ATL,29,165,7.7,0.475,0.568,0.054,3.9,13.4,8.6,12.4,1.4,0.5,11.7,10.9,0.0,0.1,0.1,0.042,-4.2,0.6,-3.6,-0.1,2023
Luke Kornet,C,27,BOS,69,804,16.7,0.697,0.076,0.229,11.9,14.8,13.4,9.1,0.7,4.9,11.8,11.5,2.1,1.2,3.3,0.198,-0.4,1.3,1.0,0.6,2023
Furkan Korkmaz,SG,25,PHI,37,353,9.3,0.552,0.414,0.324,2.0,11.8,7.0,8.8,1.4,0.8,15.9,19.1,-0.2,0.3,0.1,0.019,-3.3,-1.0,-4.4,-0.2,2023
John Konchar,SF,26,MEM,72,1494,10.8,0.542,0.553,0.113,4.5,17.4,11.0,8.2,2.4,1.5,9.9,10.4,1.0,2.5,3.5,0.111,-1.9,2.4,0.5,0.9,2023
Sandro Mamukelashvili,C,23,TOT,43,660,13.4,0.516,0.430,0.248,11.2,19.0,15.1,12.8,1.0,1.5,12.1,18.2,0.4,0.5,0.9,0.063,-1.1,-1.3,-2.4,-0.1,2023
Tre Mann,PG,21,OKC,67,1183,10.0,0.492,0.513,0.110,2.4,11.8,7.0,14.0,1.6,0.9,10.6,20.7,-0.6,1.1,0.5,0.021,-3.0,-1.0,-3.9,-0.6,2023
Davion Mitchell,PG,24,SAC,80,1447,9.4,0.545,0.494,0.078,1.3,7.0,4.1,16.5,1.5,0.9,13.1,14.1,0.7,0.8,1.5,0.050,-2.4,-0.4,-2.8,-0.3,2023
Jaden McDaniels,SF,22,MIN,79,2416,12.0,0.611,0.376,0.201,4.3,9.8,7.1,8.4,1.5,2.7,12.6,15.8,2.0,2.4,4.4,0.087,-1.7,0.5,-1.2,0.5,2023
Josh Minott,SF,20,MIN,15,96,17.9,0.582,0.167,0.222,5.9,22.9,14.6,7.5,2.0,5.4,7.1,18.9,0.1,0.2,0.3,0.146,-1.9,0.4,-1.6,0.0,2023
Justin Minaya,SF,23,POR,4,89,4.0,0.363,0.522,0.043,3.8,15.6,9.7,5.9,1.1,5.0,14.6,13.4,-0.2,0.1,-0.1,-0.067,-7.2,-1.9,-9.0,-0.2,2023
Shake Milton,SG,26,PHI,76,1567,12.7,0.575,0.294,0.231,3.0,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,0.087,-1.0,-0.9,-2.0,0.0,2023
Patty Mills,PG,34,BRK,40,567,10.6,0.554,0.641,0.144,1.6,7.0,4.4,13.9,1.3,0.5,11.9,19.7,0.0,0.4,0.4,0.035,-1.4,-1.7,-3.1,-0.2,2023
Khris Middleton,SF,31,MIL,33,801,17.4,0.551,0.399,0.251,3.8,14.0,9.1,30.7,1.4,0.5,13.6,27.4,1.0,1.0,1.9,0.117,1.0,-0.3,0.8,0.6,2023
Chimezie Metu,PF,25,SAC,66,689,17.3,0.639,0.174,0.333,7.8,24.9,16.4,8.1,1.5,2.7,11.3,17.6,1.2,0.8,2.1,0.143,-0.3,0.2,-0.1,0.3,2023
Sam Merrill,SG,26,CLE,5,59,15.5,0.546,0.818,0.091,0.0,18.0,9.0,12.0,3.4,0.0,0.0,17.3,0.1,0.1,0.2,0.160,-1.2,2.5,1.2,0.0,2023
De'Anthony Melton,SG,24,PHI,77,2150,12.7,0.566,0.619,0.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,0.095,-0.7,1.6,0.9,1.6,2023
Jordan McLaughlin,PG,26,MIN,43,678,11.8,0.526,0.538,0.124,2.5,7.6,5.1,27.4,2.2,0.5,17.7,11.7,0.7,0.6,1.3,0.094,-1.3,0.6,-0.7,0.2,2023
Rodney McGruder,SG,31,DET,32,524,10.7,0.566,0.638,0.145,4.1,11.8,7.8,7.6,1.5,0.2,6.4,14.0,0.5,0.2,0.7,0.068,-0.8,-0.7,-1.5,0.1,2023
Bryce McGowens,SG,20,CHO,46,787,7.2,0.519,0.396,0.396,2.7,10.1,6.3,9.1,0.9,0.7,15.3,15.0,-0.4,0.4,0.1,0.005,-4.6,-1.4,-6.0,-0.8,2023
JaVale McGee,C,35,DAL,42,355,17.2,0.650,0.040,0.328,9.7,25.5,17.5,5.2,0.6,6.5,20.1,22.8,0.1,0.5,0.6,0.076,-3.6,-0.1,-3.7,-0.1,2023
Doug McDermott,SF,31,SAS,64,1314,11.2,0.590,0.570,0.134,1.9,9.9,5.8,9.8,0.5,0.4,9.5,19.2,1.0,0.0,1.0,0.035,-0.7,-2.5,-3.2,-0.4,2023
Jalen McDaniels,SF,25,TOT,80,1913,11.8,0.557,0.376,0.224,3.6,16.3,9.9,9.6,2.1,1.6,12.1,17.2,0.5,2.2,2.7,0.068,-2.7,0.6,-2.1,-0.1,2023
T.J. McConnell,PG,30,IND,75,1526,16.8,0.590,0.113,0.131,3.3,13.7,8.5,37.9,2.5,0.6,20.6,19.1,1.9,1.2,3.1,0.098,0.4,0.1,0.5,1.0,2023
Boban Marjanović,C,34,HOU,31,171,23.4,0.710,0.017,0.450,12.7,26.0,19.3,8.7,1.4,1.1,16.3,20.8,0.4,0.1,0.6,0.158,3.0,-1.5,1.6,0.2,2023
CJ McCollum,SG,31,NOP,75,2649,15.6,0.541,0.404,0.177,2.4,11.7,7.0,25.1,1.3,1.4,11.2,26.4,1.5,2.8,4.3,0.078,1.5,-0.7,0.8,1.9,2023
Mac McClung,SG,24,PHI,2,41,19.2,0.563,0.550,0.250,8.8,19.8,14.4,35.3,0.0,0.0,11.9,27.5,0.1,0.0,0.1,0.140,2.2,-1.7,0.5,0.0,2023
Miles McBride,PG,22,NYK,64,760,8.4,0.475,0.623,0.195,1.9,5.4,3.6,12.4,2.4,1.0,9.7,14.6,0.0,0.7,0.7,0.047,-3.6,1.4,-2.3,-0.1,2023
Skylar Mays,PG,25,POR,6,189,19.4,0.624,0.382,0.191,1.2,10.4,5.8,40.0,1.5,0.5,11.9,19.3,0.6,0.1,0.7,0.171,2.1,-2.1,0.0,0.1,2023
Tyrese Maxey,SG,22,PHI,60,2016,17.0,0.605,0.404,0.233,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,3.7,1.6,5.4,0.128,1.9,-1.2,0.6,1.3,2023
